,date,content,score,version,thumbs,,,,,,,,,
11,2021-10-08 13:13:04,"Não consigo recuperar minha essa nesse aplicativo!!! Clico para redefinir info uma nova e altera, porém eles indicam autenticação de duplo fator mas o SMS nunca chega estou com esse problema faz tempo, tentei entrar em contato via suporte do site mas se quer consigo informar o problema. Preciso de ajuda!! não consigo resolver algo simples nesse app!",1,3.0.0,0,,,,,,,,,
12,2021-10-08 13:08:28,Dando uma por nao poder dar zero Minha filha nao consegue acessar a carteira digital de trabalho e por esse motivo nao pode ser registrada uma burocracia pra regularizar os dados falar o que de mal a pior só complicam nossa vida,1,3.0.0,0,,,,,,,,,
13,2021-10-08 13:08:08,Não tô conseguindo fazer o cadastro não no gov.br coloco os dado que pede quando vai pro reconhecimento facial volta pra tela inicial de novo pra fazer todo o processo de novo,1,3.0.0,0,,,,,,,,,
14,2021-10-08 12:49:36,"Não estou conseguindo recuperar minha senha, oque eu faço? Me ajudem",1,3.0.0,0,,,,,,,,,
15,2021-10-08 12:44:49,"App que não funciona leitura facial e não funciona a segunda opção de banco, não tive satisfação nenhuma, e não tem outra opção, fica impossível fazer o cadastro.",1,3.0.0,0,,,,,,,,,
17,2021-10-08 12:29:46,"Quer perder tempo, caia no mito de que é possível avançar ou passa do login nesse appp",1,3.0.0,0,,,,,,,,,
18,2021-10-08 12:19:23,1984 chegou e não demorou. É só questão de tempo para esses canalhas colocarem em prática o crédito social. A manada vai aceitando tudo.,1,3.0.0,0,,,,,,,,,
19,2021-10-08 12:18:37,Depois de muito tempo conseguir fazer meu cadastro! Mas não consigo entrar sempre coloco CPF e senha e diz que não foi possível meu acesso e manda verificar minhas credenciais. Que credenciais? Pelo amor de Deus que tanto de complicações burocrática.,1,3.0.0,1,,,,,,,,,
20,2021-10-08 11:42:16,"Péssimo, não consigo acessar, nem saber o porquê que não consigo!",1,3.0.0,0,,,,,,,,,
23,2021-10-08 10:00:33,Pra que serve? Kkk nao da pra fazer nada no aplicativo.,1,3.0.0,0,,,,,,,,,
24,2021-10-08 09:33:39,Péssimo. Há dias tento recuperar a senha e não consigo sempre da erro.,1,3.0.0,1,,,,,,,,,
25,2021-10-08 08:52:32,O site ta dando erro no servidor aí fica difícil,1,3.0.0,0,,,,,,,,,
26,2021-10-08 08:10:14,Muito ruim todos tipos de acesso a esse aplicativo,1,3.0.0,0,,,,,,,,,
27,2021-10-08 05:38:26,"Lixo lixo lixo, reconhecimento facial falho",1,3.0.0,0,,,,,,,,,
30,2021-10-08 02:49:38,péssimo aplicativo. não tem opção de criar um usuário. tem que fazer um monte de confirmação ridícula para criar uma conta através do: esqueci minha senha. horrível,1,3.0.0,0,,,,,,,,,
31,2021-10-08 02:44:37,"pessimo. ruim, lento e cheio de confirmações enfadonhas",1,3.0.0,0,,,,,,,,,
33,2021-10-08 01:27:19,Estou até agora tentando recuperar uma senha de um cadastro que nunca fiz e advinha ? Não tem como recuperar a senha pois não tem opção pois o cadastro não existe . Preciso do comprovante de vacina !,1,3.0.0,0,,,,,,,,,
34,2021-10-08 00:36:19,Toda vez que tento entrar solicita a biometria facial. Mas nunca funciona. Tem que fazer umas 20 vezes pra reconhecer... Melhorar isso aí!!!,1,3.0.0,2,,,,,,,,,
35,2021-10-08 00:18:34,"Estou há dias tentando fazer login no App para ter acesso ao CONECT SUS e tem sido estressante. E o mais ridículo é ter um e-mail de recuperação de senha que não é o meu. Um e-mail totalmente desconhecido. Como foi parar ali eu não sei. E agora, como comprovar que tomei as 2 doses da vacina só Covid-19? Um absurdo tudo isso. Lamentável. É ainda sou obrigado a dar pelo menos 1 estrela pra expor meu problema.",1,3.0.0,0,,,,,,,,,
36,2021-10-08 00:13:13,"O sistema de reconhecimento fácil para acessar a conta não funciona de forma eficiente, segui todas as recomendações, tentei centenas de vezes, simplesmente não funciona. Já acessei o link dos possíveis erros, e não resolveu nada, porque o erro não está do lado do usuário/operador, é falha no desenvolvimento do aplicativo, querem inovar em tecnologia lançando moda, sem antes desenvolver algo que funcione na prática.",1,3.0.0,0,,,,,,,,,
37,2021-10-08 00:10:35,muito difícil pra quem usa óculos tive que tirar o meu e precisei de ajuda pq as letras são muito pequenas devem repensar o modo de reconhecimento facial,1,3.0.0,0,,,,,,,,,
38,2021-10-08 00:02:03,"Horrível, perdi o número que realizei meu cadastro na gov e não consigo recuperar com a validação fácial, sempre da erro no aplicativo !",1,3.0.0,0,,,,,,,,,
39,2021-10-07 23:48:24,.bom,1,3.0.0,0,,,,,,,,,
41,2021-10-07 22:09:29,Gostaria de saber qual a finalidade do aplicativo?,1,3.0.0,0,,,,,,,,,
42,2021-10-07 22:01:49,"Interface muito ruim, falha na hora do reconhecimento facial, te diz que você pode logar gerando senha pelo app do seu banco, você gera, tenta, e cai no mesmo problema do reconhecimento facial.",1,3.0.0,0,,,,,,,,,
44,2021-10-07 21:46:33,Tentei fazer conta seguindo as orientações e não consigo.,1,3.0.0,0,,,,,,,,,
45,2021-10-07 21:39:29,Não consigo logar e quando tento recuperar a senha qualquer uma das opções redireciona para uma tela com erro e eu não consigo recuperar a senha,1,3.0.0,0,,,,,,,,,
46,2021-10-07 21:33:51,NAO CONSIGO DE JEITO NENHUM ME CADASTRAR ..... FICA O TEMPO TODO MANDANDO VERIFICAR IMAGENS E NUNCA DA EM NADA SENHA NAO CONFERE E O COD PARA VALIDACAO JUNTO AO EMAIL NUNCA CHEGA!!!!,1,3.0.0,0,,,,,,,,,
48,2021-10-07 21:28:39,Que bosta de app,1,3.0.0,0,,,,,,,,,
49,2021-10-07 21:18:28,Não está aceitando meu reconhecimento facial!! Deveria ser com senha !!,1,3.0.0,0,,,,,,,,,
50,2021-10-07 20:58:10,Esse site e propaganda enganosa paguei 249.90 reais e até agora não me derao retorno de nada e Cadê meu dinheiro,1,3.0.0,0,,,,,,,,,
51,2021-10-07 20:52:48,App absolutamente desprezível,1,3.0.0,0,,,,,,,,,
52,2021-10-07 20:41:24,Esqueci a senha faço todo o procedimento mas não dá certo sempre manda voltar para a página inicial vocês complicam tudo,1,3.0.0,0,,,,,,,,,
54,2021-10-07 19:29:12,Não consigo criar minha conta! Quando digito o CPF abre direto a tela para digitar minha senha porém nunca fiz cadastro neste aplicativo e o menos tenho senha.,1,3.0.0,0,,,,,,,,,
56,2021-10-07 18:36:56,Raquearam meu acesso e nao consigo entrar pois cai em um email da pessoa que raqueou poderiam melhorar isso,1,3.0.0,0,,,,,,,,,
57,2021-10-07 17:48:34,Não foi possível acessar o sistema ?????? Minha senha está correta no PC da acesso mas tem poucos serviços disponíveis CNH digital também não dá acesso realmente é só conversa fiada esses apps.,1,3.0.0,0,,,,,,,,,
58,2021-10-07 17:47:45,Não abre o aplicativo,1,3.0.0,0,,,,,,,,,
59,2021-10-07 17:42:42,Não estou conseguindo criar uma conta! Estou precisando pra ter minha carteira dr trabalho!,1,3.0.0,0,,,,,,,,,
60,2021-10-07 17:22:02,"É ridículo essa validação facial, por que não consigo recuperar minha senha ou criar uma nova senha? E não faço ideia de quem é esse endereço de e-mail descrito. Até desisti tenho os meus documentos em papel, quem precisa são vocês em uma blitz ou fiscalização.",1,3.0.0,0,,,,,,,,,
61,2021-10-07 17:13:20,Não dá pra abrir MEI só trava. As respostas de vocês são mais inúteis do que o aplicativo. O órgão responsável não seria o Gov? Se é o Gov quem está me respondendo pq não faz um sistema que funcione?,1,3.0.0,0,,,,,,,,,
62,2021-10-07 16:52:01,"Como eu atualizo o cadastro? ,sendo que o número de telefone registrado no App não é o meu,PRECISO MUDAR O NUMERO DE TELEFONE LA,COMO FAÇO???",1,3.0.0,0,,,,,,,,,
64,2021-10-07 16:44:55,"Infelizmente o app não corresponde as expectativas na hora do reconhecimento facial , é muito ruim não sai dessa opção...",1,3.0.0,0,,,,,,,,,
65,2021-10-07 16:42:12,"Não conseguir acessar, pois o tipo de validação facial não é suficiente para recuperar a conta, TEM que colocar e-mail e o contato cadastrado é usado. Eu não lembro do meu e-mail antigo, muito menos o número. O App é péssimo na função de recuperar a conta, até mesmo mais difícil que Bancos credenciados quando perdemos a senha é fácil de recuperar. Já o App do Gov precisa de uma atenção maior, pois se trata de uma aplicação do governo. Precisando da minha conta já tem 1 ano sem conseguir acessar",1,3.0.0,0,,,,,,,,,
66,2021-10-07 16:32:39,"Sistema de reconhecimento facial péssimo. Talvez resolveram o problema pois antes tentei por meses sem sucesso, só consegui hoje.",1,3.0.0,0,,,,,,,,,
67,2021-10-07 16:19:36,APLICATIVO HORRIVEL SO DA DOR DE CABEÇA ESSE RECONHECIMENTO FACIAL PELA MOR DE DEUS QUE ESTRESSE QUE ISSO DA 😡😡😡😡😡😡😡😤😤😤😤😤😤,1,3.0.0,0,,,,,,,,,
68,2021-10-07 16:11:43,"Se abrisse, seria ótimo! 😡",1,3.0.0,0,,,,,,,,,
69,2021-10-07 15:40:20,"Não o problema é tecnológico todos estão com esse problema, quando será normalizado?",1,3.0.0,0,,,,,,,,,
70,2021-10-07 15:37:51,Está sendo péssimo após a atualização do App eu não estou conseguindo acessar. E nem fazer recuperação de senhar e nem tão pouco nas opção que me oferece. Está uma droga.,1,3.0.0,0,,,,,,,,,
71,2021-10-07 15:37:33,"Logo após fazer o reconhecimento fácil para recuperar minha conta, ele manda um código para o meu email, mas infelizmente não tenho acesso a esse endereço de email. Como resolver esse problema?",1,3.0.0,0,,,,,,,,,
72,2021-10-07 15:33:31,Não estou conseguindo fazer o cadastro Como faço,1,3.0.0,0,,,,,,,,,
73,2021-10-07 14:56:25,Top 10 bem rapido,1,2.2.0,0,,,,,,,,,
74,2021-10-07 14:41:12,"Quando vou fazer o reconhecimento fácil da erro, daí não aparece funções cuja qual aparece para tirar foto.",1,3.0.0,0,,,,,,,,,
75,2021-10-07 14:29:29,Péssimo,1,2.2.0,0,,,,,,,,,
76,2021-10-07 14:03:21,app péssimo 🤦,1,3.0.0,0,,,,,,,,,
77,2021-10-07 13:58:47,Instalei o app para solicitar a carteira digital mas o mesmo não funciona. So fica pedindo o cpf e verificar se nao aou robo. No momento de fazer o reconhecimento facil ele retorna para o inicio. E caso você for fazer a leitura so Codigo QR ele denovo volta para o inicio do app solicitando cpf. Serviço muito ruim! Espero retorno.,1,3.0.0,0,,,,,,,,,
78,2021-10-07 13:58:13,"sempre informa que ""não foi possivel autorizar seu acesso verifique suas credenciais e tente novamente"". Via site acessa normal já modifiquei o cadastro e a senha e continua com o mesmo erro!",1,3.0.0,2,,,,,,,,,
79,2021-10-07 13:57:13,"É difícil de criar uma conta,sou idoso não lembro as senhas da caixa econômica federal quem do gov.br pôde ajudar",1,3.0.0,0,,,,,,,,,
81,2021-10-07 13:55:40,Horrível para fazer o cadastro!,1,3.0.0,0,,,,,,,,,
82,2021-10-07 13:55:21,"Impressionante como nada funciona direito nesse governo. O app p facilitar te atrapalha pq acaba te estressando. Agora diz p verificar as credenciais, sendo q estou acessando normalmente o Meu INSS c elas. Joga esse app no lixo!",1,3.0.0,0,,,,,,,,,
83,2021-10-07 13:13:25,se eu quero recuperar a senha por reconhecimento facial é pq eu não reconheço o email cadastrado. Ajuda a gente ai,1,3.0.0,0,,,,,,,,,
84,2021-10-07 12:46:01,"07/10/2021 O aplicativo da a possibilidade de reconhecimento digital, é selecionado, mas toda vez que tem entrar não funciona, tem de entrar com a senha",1,3.0.0,0,,,,,,,,,
85,2021-10-07 12:39:43,"App nao esta fazendo comunicaçao com meu inss, mesmo com nivel mais alto, pede pra aumentar o nivel de confiabilidade no meu inss",1,3.0.0,0,,,,,,,,,
86,2021-10-07 12:22:40,"Não foi possivel autorizar seu acesso, verifique suas credenciais e tente novamente. Login e senha corretos",1,3.0.0,0,,,,,,,,,
87,2021-10-07 11:45:11,o sistema de reconhecimento é muito ruim.,1,3.0.0,0,,,,,,,,,
88,2021-10-07 11:42:39,"Muito ruim. Criei usuário, senha e está dando um erro. ""Não foi possivel autorizar o seu acesso, verifique suas credenciais e tente novamente"". Com Cpf e senha corretos.",1,3.0.0,0,,,,,,,,,
89,2021-10-07 11:40:59,ótima,1,3.0.0,0,,,,,,,,,
91,2021-10-07 11:11:12,Não sei como ter dado biométrico. Quando fiz o cpf não pediram e agora pedem.,1,3.0.0,0,,,,,,,,,
92,2021-10-07 10:20:30,Aplicativo orivel esqueci a senha já fiz umas 100 vezes e da errado não sei qual o interesse desse aplicativo uma vez que vc faz pronto esqueceu sua senha nunca mais vc volta a usá-lo,1,3.0.0,0,,,,,,,,,
93,2021-10-07 10:03:57,Desitalando ponho CPF e senha e volta na tela inicial,1,3.0.0,0,,,,,,,,,
94,2021-10-07 07:29:02,Já coloquei meu cpf e senha certo e ele sempre diz que os dados estão incorretos,1,3.0.0,0,,,,,,,,,
95,2021-10-07 06:14:03,Dou 0 estrela o aplicativo diz qi fui bloqueado,1,3.0.0,0,,,,,,,,,
96,2021-10-07 01:26:38,"Aplicativo horrível, principalmente no reconhecimento facial. Se o governo desenvolveu esse aplicativo para facilitar o acesso ao usuário, tenho que dizer, erraram fatalmente.",1,3.0.0,0,,,,,,,,,
97,2021-10-07 01:24:20,"Péssimo Essa tranqueira de app não está me dando acesso , não envia código de recuperação de senha , nem por SMS, nem por email , nem pelo raio q o parta! Mas o que esperar de apps do governo né ?",1,3.0.0,0,,,,,,,,,
98,2021-10-07 00:58:27,O suporte não funciona,1,3.0.0,0,,,,,,,,,
99,2021-10-07 00:11:35,Uma merdaaaa!!!!,1,3.0.0,0,,,,,,,,,
100,2021-10-06 23:53:06,"Depois de dezenas de tentativas em vários dias diferentes, finalmente consegui realizar o reconhecimento facial para acesso ao aplicativo. Se não fosse brasileiro teria desistido há muito tempo.",1,3.0.0,0,,,,,,,,,
101,2021-10-06 23:35:27,ótimo melhor aplicativo,1,3.0.0,0,,,,,,,,,
102,2021-10-06 23:32:43,"Estou passando estresse nesse app,cadê a opção de recuperar senha POR E-MAIL?? Nao consigo acessar o meu cadastro .",1,3.0.0,0,,,,,,,,,
103,2021-10-06 23:28:29,Horrível...........,1,3.0.0,0,,,,,,,,,
105,2021-10-06 23:11:29,Sem comentários...,1,3.0.0,0,,,,,,,,,
107,2021-10-06 23:05:34,"A conta está ativada. O acesso não abre nem mesmo via internet banking. O site eu consigo mas preciso de reconhecimento facial e não consigo usar. Já tentei acesso via Internet Banking. Já mudei a senha de acesso e apenas aparece ""NÃO FOI POSSIVEL AUTORIZAR SEU ACESSO. VERIFIQUE SUAS CREDENCIAIS E TENTE NOVAMENTE"". Obrigada",1,3.0.0,0,,,,,,,,,
108,2021-10-06 22:56:41,bom,1,3.0.0,0,,,,,,,,,
110,2021-10-06 22:38:08,Não faz login. Xiaomi Redmi Note 8,1,3.0.0,0,,,,,,,,,
111,2021-10-06 22:35:11,"Não presta para nada, só para espertalhões gastarem dinheiro público com porcarias. Esses apps Federais precisam de uma auditoria da PF.",1,3.0.0,0,,,,,,,,,
112,2021-10-06 22:26:23,"Péssimo!!! Não funciona. Diz que eu cancelei a autenticação da foto...como eu fiz isso sem apertar botão algum? Tudo bem, vamos imaginar que eu tenha cancelado. Não existe uma opção "" tente outra vez "".",1,3.0.0,0,,,,,,,,,
113,2021-10-06 22:16:31,aplicativo ruim,1,3.0.0,0,,,,,,,,,
114,2021-10-06 22:13:12,Péssimo aplicativo,1,3.0.0,0,,,,,,,,,
115,2021-10-06 22:06:45,"Alguem me explica como conseguir criar cadastro, pq so tem a opção de acessar. Coloco o cpf e so da dados inválidos.....aff",1,3.0.0,0,,,,,,,,,
116,2021-10-06 22:05:27,Lixo de app não tem como cadastrar,1,3.0.0,0,,,,,,,,,
118,2021-10-06 21:14:07,"Não presta pra nada, mais fácil acessar o site",1,3.0.0,0,,,,,,,,,
119,2021-10-06 21:08:24,Não conseguir fazer prova de vida normalmente,1,3.0.0,0,,,,,,,,,
120,2021-10-06 21:05:23,"Muito burocrático, é humilhante depender do governo, como sempre irresponsáveis, não consigo um simples acesso ao aplicativo, já tentei de várias formas",1,3.0.0,0,,,,,,,,,
121,2021-10-06 21:05:16,burocracia! invasivo!,1,3.0.0,0,,,,,,,,,
122,2021-10-06 21:03:57,Não funciona,1,3.0.0,0,,,,,,,,,
123,2021-10-06 20:56:04,mais ou menos,1,3.0.0,0,,,,,,,,,
124,2021-10-06 20:54:42,"Consegui fazer reconhecimento facial , mas mandaram o codigo.para email que não é meu.",1,3.0.0,0,,,,,,,,,
125,2021-10-06 20:41:25,"horrível n sei pra quer tanto n dou robô,vai se lasca desse app ruimmmmmmmm",1,3.0.0,0,,,,,,,,,
126,2021-10-06 20:03:42,"Ainda sem solução. O melhor é desinstalar. Agora também não posso acessar carteira digital de trânsito porque precisa ter acesso ao gov.br. já mandei e-mail como solicitado. Por que funciona para alguns e para outros não, fica a pergunta",1,3.0.0,0,,,,,,,,,
127,2021-10-06 19:57:39,"Horrível! Não consigo fazer login nunca. O e-mail que dizem estar cadastrado não é meu, quando peço a verificação facial sempre da erro, a validação com o banco nunca funciona... Fala que irá mandar o código para meu celular porém nunca recebi nada",1,3.0.0,0,,,,,,,,,
128,2021-10-06 19:49:15,atendimento demora demais e também e da falha sempre no reconhecimento fácil mesmo seguindo todos as regras e muita frescura não gostei por favor ajeite isso tirando isso as outras coisas são boas,1,3.0.0,0,,,,,,,,,
129,2021-10-06 19:49:02,"Repito mil vezes esse app nao da acesso ao cidadao em hipotese nenhuma, ja enviaram email site e nada mas nada funciona, porque inificaram isso? E para as pessoas nao terem acesso as coisas aos serviços ate quando alguem vai se posicionar e resolver isso? Cade alguem capaz de resolver os problemas de acesso? Falando em resolver nao adianta enviarem email de site e links que nao funciona. Cade os responsaveis pra rwsolverem de uma vez por todas isso? Nao se tem acesso a nada. Fazendo o povo🤡",1,3.0.0,0,,,,,,,,,
130,2021-10-06 19:17:31,Toda hora volta a tela de login,1,3.0.0,0,,,,,,,,,
131,2021-10-06 18:55:15,app e bom,1,3.0.0,0,,,,,,,,,
132,2021-10-06 18:19:14,"Está impossível entrar no meu App. E não vou mandar documento meu autorizando vcs fazerem o que querem. Quero apenas resgatar minha senha. Em outros App, qdo erramos, desinstalamos e instalamos para resgatar a senha. Mas fazer self com meu documento? Jamais irei fazer. Preciso só resgatar minha senha. E vcs ainda mandam uma msg para eu solicitar. Nunca.",1,3.0.0,0,,,,,,,,,
133,2021-10-06 18:12:38,muito ruim difícil de mexer,1,3.0.0,0,,,,,,,,,
134,2021-10-06 18:09:44,"Absolutamente péssimo, não entra, apresenta erro de identificação e não tem as opções que devem ter. Perca de tempo e irritação pra entrar",1,3.0.0,0,,,,,,,,,
135,2021-10-06 18:07:44,"Péssimo péssimo....horrivel aplicativo que praticamente não serve para nada .. Quando ligamos para o INSS ainda tem a cara de pau de fakar ""acompanhe pelo app"" impossível... não dá pra acompanhar nem resolver...absolutamente naaaada... nota zero..",1,3.0.0,0,,,,,,,,,
136,2021-10-06 17:53:18,ok,1,3.0.0,0,,,,,,,,,
137,2021-10-06 16:50:34,Nunca consegui tirar a foto,1,3.0.0,0,,,,,,,,,
138,2021-10-06 16:50:27,Fica dando msg de erro ja mandei o email com print mas nao obtive retorno,1,3.0.0,0,,,,,,,,,
139,2021-10-06 16:50:27,"Mesmo seguindo a risca as instruções, não realiza a validação facial",1,3.0.0,0,,,,,,,,,
140,2021-10-06 16:50:11,"Aplicativo não funciona. Fica mostrando credenciais erradas, porém consigo fazer o login com os mesmos dados pelo computador.",1,3.0.0,0,,,,,,,,,
141,2021-10-06 16:42:13,"Péssima experiência, pois o app não consegue fazer o cadastro do reconhecimento facial. Então não consigo terminar o cadastro pra usar o app gov.br e o app da prefeitura",1,3.0.0,0,,,,,,,,,
143,2021-10-06 16:18:10,"Não consigo criar conta, só aparece a opção de recupera senha.",1,3.0.0,0,,,,,,,,,
144,2021-10-06 16:16:14,Reconhecimento facial ruim. Impossível. Não consigo.,1,3.0.0,0,,,,,,,,,
145,2021-10-06 15:54:43,"Pra mim nao presta nao,consigo mim cadastra Nessa poxa",1,3.0.0,0,,,,,,,,,
146,2021-10-06 15:35:34,"Eu não consigo criar uma conta, para me alistar no exército, pq não há a opção de criar uma conta",1,3.0.0,0,,,,,,,,,
148,2021-10-06 15:27:53,"Faz um mês que não consigo acessar meu login no gov.br por conta da autenticação em duas vias: a mensagem não chega de jeito algum! Preciso utilizar meus serviços do governo ou fazer login de alguma maneira alternativa, não tenho mais carta de motorista ou cartão de vacinação. Serviço ruim",1,3.0.0,0,,,,,,,,,
149,2021-10-06 15:24:35,"O app não funciona, fica somente informando acesso não permitido. Foi acessado no notebook e o acesso é validado.",1,3.0.0,0,,,,,,,,,
150,2021-10-06 15:22:33,Não consigo criar login!? Como procede?,1,3.0.0,0,,,,,,,,,
151,2021-10-06 15:03:36,"Abri essa geringonça só pra acessar o comprovante de vacinação COVID-19, não consegui fazer nada e ainda alterou minha senha de e-mail, além de enviar um alerta de cobrança. INSATISFAÇÃO TOTAL.",1,3.0.0,0,,,,,,,,,
152,2021-10-06 14:46:31,"Ontem fiz o meu reconhecimento fácil e fui informado que tive êxito. Pois bem, depois de algum tempo voltei ao app e fui informado que teria que fazer tudo novamente, muito estranho.",1,3.0.0,0,,,,,,,,,
153,2021-10-06 14:33:50,Nao consigo fazer reconhecimento facial .. Pessimo,1,3.0.0,0,,,,,,,,,
156,2021-10-06 14:09:20,"Um LIXO. Perda total de tempo. Tentei dezenas de vezes efetuar o reconhecimento facial e não funcioná. Vergonha!! Com relacáo à resposta, já tentei utilizar diversas outras formas e não funciona.",1,3.0.0,0,,,,,,,,,
157,2021-10-06 13:54:35,"Muita moagem pra abrir a conta, deve facilitar isso 😡😡😡😡😡",1,3.0.0,0,,,,,,,,,
158,2021-10-06 13:41:58,"Só quem tem um aparelho top pode fazer isso. Não é abrangente para o grande público, idosos e pessoas que sequer possuem aparelho.",1,3.0.0,0,,,,,,,,,
159,2021-10-06 13:22:10,"Mesmo digitando usuário e senha corretos ele dá erro de autenticação, dizendo que não foi possível identificar suas credenciais e pede para tentar novamente. Os mesmos dados funcionam no portal via website. Já desinstalei e instalei novamente mais o problema persiste.",1,3.0.0,0,,,,,,,,,
160,2021-10-06 13:21:53,Nao consegui anexar o documento cnh e nem vacinação pq nao aparece essa opção para anexar,1,3.0.0,0,,,,,,,,,
161,2021-10-06 12:52:06,"Não foi diferente de em nada dos comentários que li, alias, gostaria de saber onde estão as avaliações que dizem que este canal serve para alguma coisa? Estas avaliações são mais uma FAKE desse Brasil.",1,3.0.0,0,,,,,,,,,
162,2021-10-06 12:39:22,Erro ao cadastrar a senha.,1,3.0.0,0,,,,,,,,,
163,2021-10-06 12:20:19,ótimo,1,3.0.0,0,,,,,,,,,
164,2021-10-06 11:50:45,"Não estou conseguindo acessar o aplicativo, consigo entra pelo site, mas o aplicativo não, que resulta Tambem em não abrir meu aplicativo de habilitação digital, o que devo fazer?",1,3.0.0,0,,,,,,,,,
165,2021-10-06 11:42:41,"O aplicativo diz que não é possível gerar o arquivo do CDI para compartilhamento, dois dias que estou tentando e está assim",1,3.0.0,0,,,,,,,,,
166,2021-10-06 10:12:09,😔,1,3.0.0,0,,,,,,,,,
167,2021-10-06 09:45:51,"Muitas falias de segurança, cadastrei meu reconhecimento facial, aconteceu de eu esquece a senha e quando fui recupera o meu acesso não esta reconhecendo",1,3.0.0,0,,,,,,,,,
168,2021-10-06 06:38:05,Nao está sendo possível aumentar o nível!,1,3.0.0,0,,,,,,,,,
169,2021-10-06 05:16:59,"Não parece ser um site confiável, não é facil acessar e faz o recapta ser uma bricadeira.",1,3.0.0,0,,,,,,,,,
170,2021-10-06 03:04:17,Fica aparecendo impossivel assessar favor olhas as credenciais como fasso isso poderia mi ajudar ?,1,3.0.0,0,,,,,,,,,
171,2021-10-06 02:18:48,bom,1,3.0.0,0,,,,,,,,,
172,2021-10-06 02:09:22,lixo,1,3.0.0,0,,,,,,,,,
173,2021-10-06 01:54:13,"O dia todo tentando entrar e só da erro, incrível",1,3.0.0,0,,,,,,,,,
176,2021-10-06 00:34:55,"Não consigo cadastrar nem recuperar pelo CPF...não aparece opção válida (visual não tenho) banco se tranca em validar, NAO APARECE OPCAO DE COMPLEMENTAR Agradeco orientação....",1,3.0.0,0,,,,,,,,,
178,2021-10-06 00:21:05,"Muito ruim só anda bloqueando a pessoa só fé, piorar não consigo informações Nei documento para falar a verdade não consigo acessar um dos piores",1,3.0.0,0,,,,,,,,,
180,2021-10-06 00:07:31,"Santa paciência ,isso diz que eu já tenho cadastro e eu nem tenho a senha ,como que eu vou ter um cadastro cujo eu não fiz e ainda na hora de tentar recuperar a conta não bate o meu próprio reconhecimento facial? E ainda por telefone ,é um número que eu nunca tive... paciência né?",1,3.0.0,0,,,,,,,,,
183,2021-10-05 23:41:50,Como tudo que esse governo faz...so piora,1,3.0.0,0,,,,,,,,,
184,2021-10-05 23:29:07,Muito burocrático e pouco seguro,1,3.0.0,0,,,,,,,,,
186,2021-10-05 23:12:57,"Minha experiência foi péssima, não consigo recuperar senha, tem um email que nem é meu. Um inferno, esse aplicativo é zero estrelas. Já fui no site que consta onde diz que é pra atualizar cadastro, e não vai a lugar nenhum.",1,3.0.0,0,,,,,,,,,
187,2021-10-05 22:55:24,Pior app que já vi não consigo fazer o reconhecimento facial e um tal de pisca sorria Aff negócio chato.,1,3.0.0,0,,,,,,,,,
188,2021-10-05 22:44:59,"Não tinha cadastrado nada e em lugar algum, coloquei meu CPF e pede uma senha que não havia colocado.???... En vez de facilitar só complocam (bancos não aparece a onde recebo meu benefício, tentar entra no saite não abre) APP INÚTIL. Anden com a carteira de vacinação é mas prático.",1,3.0.0,0,,,,,,,,,
